V1,V2,V3
1,AKT1,1,STAT1
2,EGCG,-1,EGFR
3,EGFR,1,CBL
4,GP130,1,JAK1
5,IFNG,1,JAK1
6,IL1A,1,IL1R1
7,IL6,1,GP130
8,JAK1,1,STAT1
9,MAP2K4,1,MK12
10,MAP3K1,1,MK12
11,MK12,1,SGK
12,PI3K,1,PIP3
13,PIP3,1,AKT1
14,PLCG1,1,DAG1
15,RAF1,1,MP2K1
16,RAF1,1,SGK
17,RAS,1,RAF1
18,REBIF,1,JAK1
19,SGK,1,MKO3
20,SLP76,1,AKT1
21,TCRP,1,ZAP70
22,ZAP70,1,SLP76
23,DAG1,1,RAS
24,INS,1,PI3K
25,H2O2,1,NF2L2
26,TAK1,1,MK12
27,NACL,1,MK12
28,BDNF,1,GRB2
29,MK12,1,HSPB1
30,MKO3,-1,LCK
31,GRB2,1,RAS
32,CONA,1,VAV
33,CONA,1,GRB2
34,ANTICD3,1,TCRP
35,TNFA,1,MAP3K1
36,IL1R1,1,TAK1
37,POLYIC,1,TAK1
38,LPS,1,TAK1
